MapID;Name;Shape;Position;Rotation;Unk2C;Unk40;MapStudioLayer;UnkE08;MapID;UnkS04;UnkS0C;ActivationPartName;EntityID;UnkT00;
m10_01_00_00;吊り橋_ダミーポイント;SoulsFormats.MSB+Shape+Box;<-27.254, 25.952, -125.508>;<0, 0, 0>;7507;0;4294967295;255;-1;0;-1;;0;2;
m11_00_00_00;ダミーポイント_蛇霊[1];SoulsFormats.MSB+Shape+Sphere;<-198.366, -53.237, -94.49>;<0, 0, 0>;7510;0;4294967295;255;-1;0;-1;;0;1;
m12_05_00_00;サウンド_DummyPoint_[0];SoulsFormats.MSB+Shape+Point;<1571.9183, -574.6708, 1203.9408>;<0, 0, 0>;7506;0;4294967295;255;-1;0;-1;;0;0;
m13_00_00_00;イントロ竜巻_ダミーポイント;SoulsFormats.MSB+Shape+Sphere;<231.644, 85.311, 157.528>;<0, 0, 0>;7519;0;4294967295;255;-1;0;-1;;0;2;
m13_00_00_00;サウンド_ダミーポイント[01];SoulsFormats.MSB+Shape+Point;<166.37302, 59.509266, 208.79237>;<0, 0, 0>;7504;0;4294967295;255;-1;0;-1;;0;1;
m14_00_00_00;吊り橋_ダミーポイント;SoulsFormats.MSB+Shape+Point;<42.642, 39.597, -71.925>;<0, 0, 0>;7504;0;4294967295;255;-1;0;-1;;0;2;
m15_00_00_00;サウンド配置_毒滝_ダミーポイント;SoulsFormats.MSB+Shape+Box;<-15.58, 222.838, 572.646>;<0, 0, 0>;7524;0;4294967295;255;-1;0;-1;;0;0;
m32_02_00_00;サウンド_ダミーポイント[3]_霊廟;SoulsFormats.MSB+Shape+Sphere;<-91.739, 233.122, 26.357>;<0, 0, 0>;7500;0;4294967295;255;-1;0;-1;;0;3;
m34_12_00_00;サウンド_ダミーポイント[1]_坑夫;SoulsFormats.MSB+Shape+Sphere;<-69.396, 808.863, 45.606>;<0, 0, 0>;7501;0;4294967295;255;-1;0;-1;;0;1;
m34_15_00_00;デカ海滝用_ダミーポイント;SoulsFormats.MSB+Shape+Box;<0.317, -0.085, 2.306>;<0, 10.383, 0>;7501;0;4294967295;255;-1;0;-1;;0;1;
