MapID;Name;Shape;Position;Rotation;Unk2C;Unk40;MapStudioLayer;UnkE08;MapID;UnkS04;UnkS0C;ActivationPartName;EntityID;UnkT00;
m10_00_00_00;領域 天候上書き 出口;SoulsFormats.MSB+Shape+Box;<-320.04, 64.007, 450.659>;<0, -40, 0>;518;0;4294967295;255;-1;0;-1;;0;620000000;
m12_07_00_00;天候ID 5010;SoulsFormats.MSB+Shape+Box;<611.698, -537.5499, 1006.812>;<0, 13.9, 0>;161;0;4294967295;255;-1;0;-1;;0;5010;
m15_00_00_00;領域 天候切り替え;SoulsFormats.MSB+Shape+Cylinder;<49.61, 364.852, 223.911>;<0, 0, 0>;69;0;4294967295;255;-1;0;-1;;0;4000;
m30_00_00_00;天候抽選上書き領域 啜り泣きの半島　615000000;SoulsFormats.MSB+Shape+Box;<-95.707, 51.215, 86.115>;<0, -0.559, 0>;42;0;4294967295;255;-1;0;-1;;1;615000000;
m30_01_00_00;天候抽選上書き領域 啜り泣きの半島　615000000;SoulsFormats.MSB+Shape+Box;<-52.684, 29.813, -65.267>;<0, -118.765, 0>;16;0;4294967295;255;-1;0;-1;;1;615000000;
m30_02_00_00;天候抽選上書き領域　リムグレイブ 610000000;SoulsFormats.MSB+Shape+Box;<30.648, 101.26, 10.057>;<0, 149.436, 0>;37;0;4294967295;255;-1;0;-1;;2;610000000;
m30_03_00_00;天候抽選上書き領域 湖前半　620000000;SoulsFormats.MSB+Shape+Box;<-2.768, 223.511, -23.792>;<0, 88.428, 0>;58;0;4294967295;255;-1;0;-1;;11;620000000;
m30_04_00_00;天候抽選上書き領域　リムグレイブ 610000000;SoulsFormats.MSB+Shape+Box;<68.581, 53.059, 49.294>;<0, -126.323, 0>;34;0;4294967295;255;-1;0;-1;;2;610000000;
m30_05_00_00;天候抽選上書き領域 湖前半　620000000;SoulsFormats.MSB+Shape+Box;<-73.127, 423.619, 119.538>;<0, 1.307, 0>;48;0;4294967295;255;-1;0;-1;;13;620000000;
m30_06_00_00;天候抽選上書き領域 湖前半　620000000;SoulsFormats.MSB+Shape+Box;<58.615, 233.528, 68.735>;<0, -94.521, 0>;88;0;4294967295;255;-1;0;-1;;4;620000000;
m30_07_00_00;領域 天候抽選上書き;SoulsFormats.MSB+Shape+Box;<-127.202, 824.866, 142.257>;<0, 0, 0>;92;0;4294967295;255;-1;0;-1;;28;630000000;
m30_08_00_00;天候抽選上書き領域 アルター高原 630000000;SoulsFormats.MSB+Shape+Box;<35.154, 872.778, 9.577>;<0, -82.62, 0>;17;0;4294967295;255;-1;0;-1;;31;630000000;
m30_09_00_00;天候抽選上書き領域　ゲルミア火山 635000000;SoulsFormats.MSB+Shape+Box;<116.648, 891.187, 17.047>;<0, 82.09, 0>;52;0;4294967295;255;-1;0;-1;;0;635000000;
m30_10_00_00;天候抽選上書き領域 王都外廓 630000000;SoulsFormats.MSB+Shape+Box;<63.116, 941.52, 124.896>;<0, 178.356, 0>;147;0;4294967295;255;-1;0;-1;;0;630000000;
m30_11_00_00;天候抽選上書き領域 嵐の丘　3021;SoulsFormats.MSB+Shape+Box;<-108.804, 182.764, 27.436>;<0, -93.839, 0>;27;0;4294967295;255;-1;0;-1;;1;3021;
